MCS,simSNR,BLER,SNR_0p1BLER
0,"-6, -5.75, -5.5, -5.25, -5, -4.75, -4.5, -4.25, -4, -3.75","1, 1, 1, 0.9971, 0.9504, 0.712, 0.298, 0.0486, 0.0034, 0.0002",-4.3
1,"-3.5, -3.25, -3, -2.75, -2.5, -2.25, -2, -1.75, -1.5, -1.25, -1, -0.75, -0.5, -0.25, 0, 0.25, 0.5","0.9999, 0.999, 0.9461, 0.5968, 0.1306, 0.0059, 0.0002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",-2.44
2,"-1.5, -1.25, -1, -0.75, -0.5, -0.25, 0, 0.25, 0.5, 0.75, 1, 1.25, 1.5","1, 0.9999, 0.9853, 0.6928, 0.1207, 0.0032, 0, 0, 0, 0, 0, 0, 0",-0.46
3,"-0.5, -0.25, 0, 0.25, 0.5, 0.75, 1, 1.25, 1.5, 1.75, 2, 2.25, 2.5, 2.75, 3","1, 1, 1, 1, 1, 0.9911, 0.688, 0.0789, 0.0006, 0, 0, 0, 0, 0, 0",1.24
4,"1.5, 1.75, 2, 2.25, 2.5, 2.75, 3, 3.25, 3.5, 3.75, 4, 4.25, 4.5","1, 1, 1, 1, 0.9704, 0.4116, 0.009, 0.0001, 0, 0, 0, 0, 0",2.94
5,"3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5","1, 1, 1, 0.9999, 0.9213, 0.226, 0.002, 0, 0, 0, 0, 0, 0",4.89
6,"4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5","1, 1, 1, 0.996, 0.6353, 0.0305, 0, 0, 0, 0, 0, 0, 0",5.72
7,"5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.5","1, 1, 1, 1, 1, 0.9988, 0.814, 0.1546, 0.004, 0, 0, 0, 0, 0, 0",6.84
8,"6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.5, 8.75, 9, 9.25, 9.5","1, 1, 1, 1, 1, 0.9449, 0.3053, 0.0113, 0.0001, 0, 0, 0, 0, 0, 0",7.67
9,"6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.5, 8.75, 9, 9.25, 9.5, 9.75","1, 1, 1, 1, 1, 1, 0.9564, 0.3122, 0.0081, 0, 0, 0, 0",8.67
10,"7.75, 8, 8.25, 8.5, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5","1, 1, 1, 1, 0.9985, 0.6914, 0.049, 0.0001, 0, 0, 0, 0",9.23
